tournament,full_tournament_name,source_file,event,gender,stage,date,rank,bib,name,noc,total,num_shots,stage_totals,shots,remarks
World Cup,World Cup - RPSH 2025,10mAR_MW_WC-RPSH-Lima-2025.pdf,10m Air Rifle,Men,Final,Unknown,2,1348,BABUTA Arjun,IND,252.3,24,"52.2,105.4,126.3,147.5,168.3,189.4,210.3,231.5,252.3","10.1,10.5,10.2,10.7,10.7,10.6,10.8,10.5,10.7,10.6,10.5,10.4,10.7,10.5,10.3,10.5,10.6,10.5,10.5,10.4,10.6,10.6,10.3,10.5",
World Cup,World Cup - RPSH 2025,10mAR_MW_WC-RPSH-Lima-2025.pdf,10m Air Rifle,Men,Final,Unknown,3,1321,PENI Istvan,HUN,229.8,22,"53.1,105.6,126.4,147.0,167.8,188.6,209.2,229.8","10.6,10.5,10.8,10.6,10.6,10.6,10.5,10.3,10.6,10.5,10.0,10.8,10.8,9.8,10.8,10.0,10.5,10.3,10.3,10.3,10.1,10.5",
World Cup,World Cup - RPSH 2025,10mAR_MW_WC-RPSH-Lima-2025.pdf,10m Air Rifle,Men,Final,Unknown,4,1548,LINDGREN Victor,SWE,208.7,20,"51.9,104.2,125.7,146.5,167.5,187.8,208.7","10.6,10.5,10.5,10.3,10.0,10.0,10.8,10.6,10.4,10.5,10.9,10.6,10.2,10.6,10.4,10.6,10.1,10.2,10.2,10.7",
World Cup,World Cup - RPSH 2025,10mAR_MW_WC-RPSH-Lima-2025.pdf,10m Air Rifle,Men,Final,Unknown,5,1440,HEGG Jon-Hermann,NOR,187.6,18,"52.9,105.7,126.8,147.5,168.3,187.6","10.5,10.5,10.9,10.5,10.5,10.7,10.4,10.8,10.3,10.6,10.4,10.7,10.4,10.3,10.5,10.3,9.2,10.1",
World Cup,World Cup - RPSH 2025,10mAR_MW_WC-RPSH-Lima-2025.pdf,10m Air Rifle,Men,Final,Unknown,6,1439,HALVORSEN Ole,NOR,166.2,16,"51.3,103.9,124.6,145.0,166.2","10.0,10.1,10.5,10.3,10.4,10.3,10.8,10.8,10.3,10.4,10.6,10.1,9.9,10.5,10.4,10.8",
World Cup,World Cup - RPSH 2025,10mAR_MW_WC-RPSH-Lima-2025.pdf,10m Air Rifle,Men,Final,Unknown,7,1597,KISSELL Rylan,USA,144.5,14,"51.6,102.3,123.4,144.5","10.3,9.5,10.8,10.2,10.8,10.5,10.3,10.5,9.2,10.2,10.5,10.6,10.3,10.8",
World Cup,World Cup - RPSH 2025,10mAR_MW_WC-RPSH-Lima-2025.pdf,10m Air Rifle,Men,Final,Unknown,8,1359,PATIL Rudrankksh,IND,104.8,8,"52.4,104.8","10.1,10.2,10.8,10.7,10.5,10.2,10.3,10.8",
World Cup,World Cup - RPSH 2025,10mAR_MW_WC-RPSH-Lima-2025.pdf,10m Air Rifle,Women,Final,Unknown,1,1123,WANG Zifei,CHN,254.8,24,"52.5,105.7,126.6,147.8,169.0,190.4,212.0,233.5,254.8","10.5,10.6,10.3,10.4,10.7,10.9,10.9,10.5,10.4,10.5,10.4,10.5,10.7,10.5,10.4,10.8,10.5,10.9,10.8,10.8,10.8,10.7,10.8,10.5",WR
World Cup,World Cup - RPSH 2025,10mAR_MW_WC-RPSH-Lima-2025.pdf,10m Air Rifle,Women,Final,Unknown,2,1112,Jiayu,HAN,250.4,24,"51.3,104.3,125.1,145.9,166.8,188.2,209.6,230.0,250.4","10.1,10.1,10.2,10.7,10.2,10.7,10.7,10.6,10.6,10.4,10.4,10.4,10.6,10.2,10.4,10.5,10.8,10.6,10.6,10.8,10.4,10.0,9.8,10.6",
World Cup,World Cup - RPSH 2025,10mAR_MW_WC-RPSH-Lima-2025.pdf,10m Air Rifle,Women,Final,Unknown,3,1110,Xinyi,FAN,229.6,22,"51.7,104.5,126.0,146.7,167.7,188.4,209.1,229.6","10.8,10.5,10.1,10.1,10.2,10.1,10.6,10.7,10.8,10.6,10.8,10.7,10.2,10.5,10.2,10.8,10.2,10.5,10.3,10.4,10.3,10.2",
World Cup,World Cup - RPSH 2025,10mAR_MW_WC-RPSH-Lima-2025.pdf,10m Air Rifle,Women,Final,Unknown,4,1436,DUESTAD Jeanette,NOR,208.6,20,"52.5,104.7,125.2,146.2,167.8,188.3,208.6","10.2,10.7,10.7,10.2,10.7,10.1,10.2,10.6,10.6,10.7,10.2,10.3,10.3,10.7,10.8,10.8,9.8,10.7,10.7,9.6",
World Cup,World Cup - RPSH 2025,10mAR_MW_WC-RPSH-Lima-2025.pdf,10m Air Rifle,Women,Final,Unknown,5,1328,BORSE Arya,IND,188.1,18,"52.6,105.1,125.9,146.4,167.8,188.1","10.7,10.6,10.4,10.5,10.4,10.7,10.7,10.5,10.5,10.1,10.1,10.7,10.1,10.4,10.6,10.8,9.9,10.4",
World Cup,World Cup - RPSH 2025,10mAR_MW_WC-RPSH-Lima-2025.pdf,10m Air Rifle,Women,Final,Unknown,6,1430,KWON Eunji,KOR,166.8,16,"51.5,104.1,125.5,146.4,166.8","10.3,10.3,10.4,10.1,10.4,10.4,10.7,10.4,10.8,10.3,10.8,10.6,10.7,10.2,10.5,9.9",
World Cup,World Cup - RPSH 2025,10mAR_MW_WC-RPSH-Lima-2025.pdf,10m Air Rifle,Women,Final,Unknown,7,1396,BEZRUKOVA Yelizaveta,KAZ,145.4,14,"51.9,103.8,124.7,145.4","9.9,10.6,10.7,10.3,10.4,10.2,10.5,10.3,10.2,10.7,10.3,10.6,10.2,10.5",
World Cup,World Cup - RPSH 2025,10mAR_MW_WC-RPSH-Lima-2025.pdf,10m Air Rifle,Women,Final,Unknown,8,1584,TUCKER Mary,USA,124.7,10,"51.3,103.9,124.7","10.5,10.5,10.4,10.1,10.0,10.2,10.6,10.4,10.9,10.3",ER
